 Image,RA,DEC,Simple,Dust strip,Bulge,Overlap,Irregular,X-type,Interacting
,193.1020869,7.18149436,1,-1,-1,-1,-1,-1,-1
,13.5065554869503,7.39445343004436,-1,1,1,-1,-1,-1,-1
,29.0510629454738,-9.65319357264779,-1,1,1,-1,-1,-1,-1
,4.1560974208931,6.76711215943698,-1,0,-1,-1,1,-1,-1
,329.104072972258,30.7881058960381,-1,1,0,-1,-1,0,-1
,29.3431306735258,6.76820077424182,-1,1,-1,-1,-1,-1,-1
,350.879548320911,17.4220976990168,-1,1,1,-1,-1,-1,-1
,15.4121199670077,-6.19206602070838,-1,1,1,-1,-1,-1,-1
,1.13467934530962,8.1048833416647,-1,1,1,-1,-1,-1,-1
,77.0504139177455,-3.93352744338663,1,0,-1,-1,-1,-1,-1
,254.425960593603,28.1788186835992,-1,1,1,-1,-1,0,-1
,133.71597858246415,58.35590228417101,1,-1,-1,-1,1,-1,-1
,44.5651758405232,36.5003148612078,-1,1,1,-1,-1,0,-1
,224.4066615256946,32.836359867843925,1,-1,-1,-1,1,-1,-1
,332.1647953358014,-3.35330724409655,-1,1,1,-1,-1,1,-1
,345.616188878064,8.24652118002344,-1,1,1,-1,1,-1,-1
,76.7344407590021,26.7614693058452,-1,0,1,-1,-1,0,-1
,320.818542786001,8.8888024886757,-1,1,0,-1,0,-1,-1
,347.690030348421,28.1394124156523,-1,1,1,-1,-1,1,-1
,133.68792165,-1.88620954,-1,1,1,-1,-1,0,-1
,37.0150232670298,26.2929947338806,-1,1,1,-1,-1,0,-1
,2.26811050839501,10.9186754691964,-1,1,1,-1,-1,0,-1
,349.245194026008,3.70976800992352,-1,1,1,-1,0,0,-1
,342.545596422846,30.3627309903596,-1,0,1,-1,-1,0,-1
,26.850315873917,-7.1770132515062,-1,1,1,-1,-1,-1,-1
,357.973696243303,38.4008362599158,-1,1,1,-1,-1,-1,-1
,185.11525606,1.46974407,1,-1,-1,-1,-1,-1,-1
,74.84779532290985,-1.159379895719544,-1,1,-1,-1,1,-1,-1
,119.928703887013,-9.69401359338389,-1,-1,1,1,-1,-1,-1
,255.711981858165,-3.47198498471235,-1,1,1,-1,1,-1,-1
,3.8920174022630785,-3.060655763382687,-1,-1,1,-1,-1,-1,-1
,132.30389875,2.61498008,1,-1,-1,-1,0,-1,-1
,22.448181948191426,-6.980237442602828,-1,1,1,-1,-1,0,-1
,268.953805652176,8.28055025709706,-1,-1,1,-1,1,-1,-1
,333.723654882157,-2.28563332062444,-1,1,1,-1,-1,0,-1
,303.07729,9.48696,-1,-1,1,-1,-1,0,-1
,127.85559,-4.24141,-1,1,1,-1,-1,0,-1
,219.02372,-4.94039,-1,1,1,-1,-1,1,-1
,72.19018,-5.12560,1,-1,-1,-1,1,-1,-1
,348.92812,8.92765,-1,1,1,-1,1,-1,1
,5.24970,7.62207,-1,1,1,-1,1,-1,-1
,72.68466,-5.41870,-1,1,-1,-1,-1,-1,-1
,354.01692,0.07962,-1,1,-1,-1,1,1,1
,232.33236,3.60127,-1,1,1,-1,-1,1,-1
,349.13092,20.77137,-1,1,1,-1,-1,1,-1
,30.45563,7.48697,-1,1,1,-1,-1,0,-1
,335.75404,2.93315,-1,-1,1,-1,1,-1,1
,176.11915,10.78379,-1,1,1,-1,-1,1,-1
,54.28593,6.57929,-1,1,1,-1,-1,-1,-1
,67.24822,-9.11310,-1,1,1,-1,-1,1,-1
,165.48140,47.09497,-1,1,1,-1,-1,0,-1
,185.82175,11.36756,1,-1,-1,-1,-1,-1,-1
,61.02397,20.04426,-1,1,1,-1,-1,1,-1
,242.24297,36.61093,-1,1,0,-1,1,-1,-1
,36.13168,31.61519,1,-1,-1,1,-1,-1,-1
,133.15844,-2.60320,-1,1,1,-1,-1,1,-1
,7.86743,-19.76155,1,-1,-1,-1,0,-1,-1
,348.30492,6.43029,-1,1,1,-1,1,-1,-1
,39.13190,7.30950,-1,1,1,-1,-1,-1,-1
,20.54712,33.44210,1,-1,-1,-1,-1,-1,-1
,276.01030,65.30622,-1,1,1,-1,-1,0,-1
,42.56064,0.09441,1,-1,-1,-1,-1,-1,0
,177.55423,6.99794,1,-1,-1,-1,0,-1,-1
,122.91811,29.27502,-1,-1,1,-1,-1,-1,-1
,190.63440,-5.60441,-1,1,1,-1,-1,0,-1
,9.33832,29.14934,1,-1,-1,-1,-1,-1,-1
,320.58032,2.27651,-1,1,1,-1,1,-1,-1
,284.10713,39.89464,-1,-1,1,-1,-1,-1,-1
,10.50270,-9.83444,1,-1,-1,-1,-1,-1,-1
,21.83854,11.97564,-1,1,1,-1,0,-1,0
,56.40086,-7.47197,-1,1,1,-1,1,0,1
,102.95595,29.97966,-1,1,1,-1,1,-1,-1
,223.28726,11.74574,1,-1,-1,-1,-1,-1,-1
,180.93601,1.69506,-1,-1,1,-1,-1,1,-1
,214.63841,2.06473,1,-1,-1,-1,-1,-1,-1
,223.58396,14.57633,-1,1,1,-1,-1,1,-1
,3.99511,11.96507,-1,1,-1,-1,-1,-1,-1
,164.69552,5.51943,-1,1,1,-1,-1,0,-1
,10.86867,-6.34883,-1,1,1,-1,-1,-1,-1
,177.35066,-0.87112,-1,1,1,-1,-1,0,-1
,230.42241,10.28686,-1,1,1,-1,-1,1,-1
,5.16687,6.87330,-1,1,0,-1,-1,1,-1
,47.99943,-1.16165,-1,1,1,-1,0,-1,-1
,168.56132,-14.68991,1,-1,-1,-1,-1,-1,-1
,152.89535,69.25810,-1,1,1,-1,-1,-1,-1
,119.44253,32.57623,1,-1,-1,-1,0,-1,-1
,349.69463,7.41785,1,-1,0,-1,-1,0,-1
,260.23913,42.15547,-1,1,1,-1,-1,0,-1
,213.75726,-0.85981,-1,1,1,-1,-1,0,-1
,213.75726,-0.86013,-1,1,1,-1,1,0,-1
,161.34474,1.12439,-1,-1,-1,-1,1,-1,-1
,204.54000,14.92005,-1,-1,1,-1,-1,1,-1
,5.24585,6.36470,-1,1,1,-1,-1,0,-1
,352.97104,-0.82637,1,0,-1,-1,-1,-1,-1
,155.84144,9.93750,-1,-1,1,-1,-1,1,-1
,31.18762,21.43466,-1,1,1,-1,-1,1,-1
,231.62630,41.28954,-1,-1,-1,-1,1,-1,-1
,73.76570,-4.09557,-1,1,-1,-1,-1,-1,-1
,263.98773,22.80221,1,-1,-1,-1,-1,-1,-1
,254.29844,77.14058,1,-1,-1,-1,-1,-1,-1
,210.06040,8.96705,-1,1,1,-1,-1,-1,-1
,249.15013,4.44485,-1,-1,-1,-1,1,-1,-1
,291.44752,78.66753,-1,1,1,-1,-1,0,-1
,245.69585,37.55453,-1,-1,1,-1,-1,-1,-1
,324.86146,2.82691,-1,1,-1,-1,-1,-1,-1
,135.47318,0.39555,-1,0,0,-1,1,-1,-1
,159.50774,6.78516,-1,-1,1,-1,1,-1,-1
,234.77880,9.29615,-1,1,1,-1,1,0,-1
,338.00881,1.17406,1,-1,-1,-1,-1,-1,-1
,247.28476,8.09035,-1,1,1,-1,-1,1,-1
,190.30389,18.60412,-1,-1,-1,-1,-1,1,-1
,132.72049,1.25008,-1,1,0,-1,-1,-1,-1
,36.15922,19.37611,-1,1,-1,-1,-1,-1,-1
,329.10802,30.78729,-1,1,0,-1,-1,-1,-1
,345.61585,11.63510,1,-1,-1,-1,-1,-1,-1
,0.82973,27.85081,-1,1,0,-1,-1,-1,-1
,359.43072,-3.59518,-1,1,0,-1,-1,-1,-1
,42.79212,-6.70627,-1,1,-1,-1,-1,-1,-1
,126.69420,0.40654,-1,0,1,-1,1,-1,-1
,343.18779,33.39754,-1,1,-1,-1,-1,-1,-1
,172.64799,-7.85764,-1,1,0,-1,-1,-1,-1
,38.27177,5.61333,-1,0,0,-1,-1,0,-1
,13.43514,24.33612,1,-1,-1,-1,-1,-1,-1
,33.03712,7.78825,-1,1,0,-1,-1,-1,-1
,357.50030,-7.08399,1,-1,-1,-1,-1,-1,-1
,150.39763,-2.99443,-1,0,1,-1,-1,1,-1
,118.76455,18.95644,1,-1,0,-1,-1,-1,-1
,315.70041,24.66742,-1,1,1,-1,-1,-1,-1
,79.44138,-1.18678,-1,1,-1,-1,-1,-1,-1
,191.06139,-16.30937,-1,1,0,-1,-1,1,-1
,11.78425,30.34122,-1,1,-1,-1,-1,-1,-1
,248.41472,13.68724,-1,0,1,-1,-1,-1,-1
,161.02664,24.15546,-1,1,1,-1,-1,-1,-1
,164.79478,1.60608,-1,1,1,-1,-1,1,-1
,151.17390,28.35668,-1,1,1,-1,-1,-1,-1
,213.56154,35.42366,-1,0,1,-1,-1,-1,-1
,36.94307,44.33481,-1,1,1,-1,-1,0,-1
,339.06195,1.41275,-1,-1,1,-1,-1,1,-1
,74.84774,-1.15942,-1,1,0,-1,1,0,-1
,77.50447,-0.76175,-1,1,1,-1,-1,0,-1
,243.54691,-0.85402,-1,1,1,-1,-1,-1,-1
,334.12777,12.32463,-1,1,-1,-1,-1,-1,-1
,305.96364,-1.22298,-1,1,1,-1,-1,-1,-1
,122.26370,16.67436,1,-1,-1,-1,-1,-1,-1
,236.31984,-19.62194,1,-1,-1,-1,-1,-1,-1
,103.65993,28.36379,-1,1,1,-1,-1,-1,-1
,228.00912,1.69759,-1,-1,-1,-1,1,-1,-1
,30.96921,-14.11828,-1,1,1,-1,-1,-1,1
,49.71831,-6.61654,1,-1,-1,-1,-1,-1,-1
,354.60820,15.94088,1,-1,0,-1,-1,-1,-1
,160.65611,79.10846,-1,1,-1,-1,-1,-1,-1
,347.14179,28.55190,-1,1,-1,-1,-1,-1,-1
,76.54793,-0.40549,-1,0,0,-1,-1,-1,-1
,78.54260,-6.14801,-1,1,1,-1,-1,1,-1
,186.00922,5.53157,-1,1,1,-1,-1,-1,-1
,337.50491,15.79201,-1,0,1,-1,1,-1,-1
,323.08780,-4.06205,1,0,-1,-1,-1,-1,-1
,158.73292,0.35780,-1,1,1,-1,-1,-1,-1
,248.42389,18.45385,-1,1,1,-1,-1,-1,-1
,143.94284,24.37903,-1,-1,1,-1,-1,1,-1
,15.49428,44.84611,-1,0,1,-1,-1,-1,-1
,56.53738,16.24802,-1,1,-1,-1,-1,-1,-1
,247.66340,41.21070,-1,1,1,-1,-1,-1,-1
,47.42773,41.44100,-1,1,0,-1,-1,-1,-1
,24.99554,13.78544,-1,1,1,-1,-1,-1,-1
